,CAMIS,BORO,ZIPCODE,Latitude,Longitude,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE,id,name,review_count,rating,price,location,url
997,41721605.0,Manhattan,10017,40.75294488,-73.977965,Other,10.0,A,2022-01-20,jx4Zu0Tt0DUp2YKxNEkPJA,Frankies Dogs On The Go,50,3.0,$,"{'address1': '23 Vanderbilt Ave Grand Central Terminal', 'address2': None, 'address3': 'Grand Central Terminal', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['23 Vanderbilt Ave Grand Central Terminal', 'Grand Central Terminal', 'New York, NY 10017']}",https://www.yelp.com/biz/frankies-dogs-on-the-go-new-york-3?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
998,50075766.0,Queens,11377,40.74689196,-73.89642508,Other,5.0,A,2022-06-25,viPKFWURtx09AVOa6iiKSg,Momo Crave,242,4.5,$,"{'address1': '3807 69th St', 'address2': '', 'address3': '', 'city': 'Woodside', 'zip_code': '11377', 'country': 'US', 'state': 'NY', 'display_address': ['3807 69th St', 'Woodside, NY 11377']}",https://www.yelp.com/biz/momo-crave-woodside?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
999,50041630.0,Manhattan,10009,40.72598148,-73.98516804,Other,13.0,A,2023-03-01,Ew3d7Vt18c1MH4_X6ogxQQ,Banh Mi Zon,339,4.5,$$,"{'address1': '443 East 6th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['443 East 6th St', 'New York, NY 10009']}",https://www.yelp.com/biz/banh-mi-zon-new-york-4?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1000,50098226.0,Manhattan,10013,40.71700704,-73.99831896,Coffee/Tea,8.0,A,2022-11-28,DbhBca8LzskjS0B-L4QfZg,Tiger Sugar,544,4.0,$$,"{'address1': '197 Canal St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['197 Canal St', 'New York, NY 10013']}",https://www.yelp.com/biz/tiger-sugar-new-york-9?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1001,50042450.0,Other,10310,40.6264465,-74.12975738,Other,10.0,A,2023-03-10,GyOpAw_hH8tIusSjEqkBNA,Egger's Ice Cream Parlor,183,3.5,$,"{'address1': '1194 Forest Ave', 'address2': '', 'address3': '', 'city': 'Staten Island', 'zip_code': '10310', 'country': 'US', 'state': 'NY', 'display_address': ['1194 Forest Ave', 'Staten Island, NY 10310']}",https://www.yelp.com/biz/eggers-ice-cream-parlor-staten-island-2?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1002,50082953.0,Manhattan,10019,40.76268727,-73.98579879,Tex-Mex,10.0,A,2022-03-10,Ty80QDpzRrflPFJMULPtSw,Taco Bell,56,3.5,$,"{'address1': '840 8th Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['840 8th Ave', 'New York, NY 10019']}",https://www.yelp.com/biz/taco-bell-new-york-46?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1003,50082953.0,Manhattan,10019,40.76268727,-73.98579879,Tex-Mex,10.0,A,2022-03-10,Ty80QDpzRrflPFJMULPtSw,Taco Bell,56,3.5,$,"{'address1': '840 8th Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['840 8th Ave', 'New York, NY 10019']}",https://www.yelp.com/biz/taco-bell-new-york-46?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1004,50071042.0,Queens,11421,40.69289242,-73.85444801,Latin American,23.0,B,2022-11-21,RnVHE26hi79bDtZ9Y4K_iw,Caridad Restaurant,90,3.5,$$,"{'address1': '9019 Jamaica Ave', 'address2': None, 'address3': None, 'city': 'Woodhaven', 'zip_code': '11421', 'country': 'US', 'state': 'NY', 'display_address': ['9019 Jamaica Ave', 'Woodhaven, NY 11421']}",https://www.yelp.com/biz/caridad-restaurant-woodhaven?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1005,41319405.0,Queens,11357,40.7940263,-73.81804524,Pizza,10.0,A,2022-03-31,5z17B673aI4MSWkKB1DsjA,Caffe Rustico,62,4.5,$$,"{'address1': '7-26 149th St', 'address2': '', 'address3': '', 'city': 'Whitestone', 'zip_code': '11357', 'country': 'US', 'state': 'NY', 'display_address': ['7-26 149th St', 'Whitestone, NY 11357']}",https://www.yelp.com/biz/caffe-rustico-whitestone-2?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1006,41169084.0,Manhattan,10012,40.72827423,-73.99550083,Coffee/Tea,13.0,A,2022-04-07,p6Xo2vQlKv-w3X1r42CkVQ,Think Coffee,712,3.5,$$,"{'address1': '248 Mercer St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['248 Mercer St', 'New York, NY 10012']}",https://www.yelp.com/biz/think-coffee-new-york-2?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
