,id,name,review_count,rating,price,location,zip_code
38,Fm2XUIqr62M6IznAS-kJBw,Broad Nosh Bagels,89,4.0,$,"{'address1': '2350 Broadway', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['2350 Broadway', 'New York, NY 10024']}",10024
39,GszV6jjdoiNCgsiIhLnSmg,El Pabellon De Oro,53,4.0,$$,"{'address1': '1501 Westchester Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10472', 'country': 'US', 'state': 'NY', 'display_address': ['1501 Westchester Ave', 'Bronx, NY 10472']}",10472
40,go9fTb59h5WJ_e5Guw-Y8g,Chipotle Mexican Grill,60,2.0,$,"{'address1': '150 E 44th St', 'address2': 'Frnt 1', 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['150 E 44th St', 'Frnt 1', 'New York, NY 10017']}",10017
41,6NfeqE-5OBXfGBXhr4PJVg,The Dolar Shop,1082,4.5,$$$,"{'address1': '36-36 Prince St', 'address2': 'Fl 1', 'address3': '', 'city': 'Flushing', 'zip_code': '11354', 'country': 'US', 'state': 'NY', 'display_address': ['36-36 Prince St', 'Fl 1', 'Flushing, NY 11354']}",11354
42,sVJhP5fZc3uOPB0w3fqYag,Oops Tea,2,4.0,,"{'address1': '344 Knickerbocker Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['344 Knickerbocker Ave', 'New York, NY 11237']}",11237
43,U59wtA8rlOXWkUYjKhDb3w,Randolph Beer,147,3.5,$$,"{'address1': '82 Prospect St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '07307', 'country': 'US', 'state': 'NY', 'display_address': ['82 Prospect St', 'Brooklyn, NY 07307']}",07307
44,ZMQzXIiqdBIuicFySTWGKg,Dough,1664,4.0,$$,"{'address1': '14 W 19th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['14 W 19th St', 'New York, NY 10011']}",10011
45,6svVma3l4OONzDI1SyncRg,Solid State Coffee,32,4.0,,"{'address1': '104 W 71st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['104 W 71st St', 'New York, NY 10023']}",10023
46,8fPAYyTxg2jMDYmWUDhasw,Hard Rock Cafe,1003,3.0,$$,"{'address1': 'Pier 39', 'address2': 'Space 256', 'address3': 'Bldg Q, Level 1', 'city': 'San Francisco', 'zip_code': '94133', 'country': 'US', 'state': 'CA', 'display_address': ['Pier 39', 'Space 256', 'Bldg Q, Level 1', 'San Francisco, CA 94133']}",94133
47,yBBKdMVbGjSPAgxhDT8zMg,Early,118,4.5,$,"{'address1': '967 Manhattan Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['967 Manhattan Ave', 'Brooklyn, NY 11222']}",11222
48,PiOv4vMRLaJJoqt_Eyebvw,Udom Thai,380,3.0,$$,"{'address1': '661 Washington Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['661 Washington Ave', 'Brooklyn, NY 11238']}",11238
49,y9GhIt1MLh6344ODA65NQw,Halal Boyz,134,3.5,$,"{'address1': '183-20 Horace Harding Expy', 'address2': '', 'address3': None, 'city': 'Fresh Meadows', 'zip_code': '11365', 'country': 'US', 'state': 'NY', 'display_address': ['183-20 Horace Harding Expy', 'Fresh Meadows, NY 11365']}",11365
50,hi40IRl__sowKdcNdE_3Ew,Joe Coffee Company,350,4.0,$$,"{'address1': '9 E 13th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['9 E 13th St', 'New York, NY 10003']}",10003
51,rS_LdCRFH3hSfjsG2Jrogg,Wingstop,18,2.0,,"{'address1': '102 14 Atlantic Ave', 'address2': None, 'address3': None, 'city': 'Queens', 'zip_code': '11416', 'country': 'US', 'state': 'NY', 'display_address': ['102 14 Atlantic Ave', 'Queens, NY 11416']}",11416
52,d_4dmneuGuJES1ikgQWJHA,Incas Grill Peruvian kitchen,305,4.0,$$,"{'address1': '126 Lincoln Ave', 'address2': '', 'address3': '', 'city': 'Staten Island', 'zip_code': '10306', 'country': 'US', 'state': 'NY', 'display_address': ['126 Lincoln Ave', 'Staten Island, NY 10306']}",10306
53,NI0gvoYzOK0EjjoGOlYFzA,Potbelly Sandwich Shop,155,3.5,$$,"{'address1': '22 E 17th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['22 E 17th St', 'New York, NY 10003']}",10003
54,S-xUsS4RKzBrOnAjy6lnyA,Acosta Restaurant,45,3.5,$,"{'address1': '934 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['934 Amsterdam Ave', 'New York, NY 10025']}",10025
